Count,Metrics,Mean,STD,95% CI
9,specificity,0.882,0.084,0.819-0.945
9,threat_score,0.664,0.163,0.541-0.787
10,F1_score,0.782,0.116,0.694-0.870
10,accuracy,0.820,0.112,0.735-0.905
10,balanced_accuracy,0.859,0.086,0.795-0.924
10,fall_out,0.124,0.086,0.059-0.189
10,false_discovery_rate,0.210,0.176,0.077-0.343
10,false_ommission_rate,0.160,0.222,-0.007-0.327
10,miss_rate,0.158,0.188,0.016-0.300
10,negative_predictive_value,0.840,0.222,0.673-1.007
10,odds_ratio,inf,nan,nan-nan
10,precision,0.790,0.176,0.657-0.923
10,sensitivity,0.842,0.188,0.700-0.984
10,specificity,0.876,0.086,0.811-0.941
10,threat_score,0.657,0.158,0.538-0.776
11,F1_score,0.799,0.106,0.720-0.879
11,accuracy,0.828,0.120,0.737-0.919
11,balanced_accuracy,0.867,0.084,0.803-0.930
11,fall_out,0.114,0.077,0.056-0.172
11,false_discovery_rate,0.190,0.151,0.076-0.304
11,false_ommission_rate,0.160,0.237,-0.019-0.339
11,miss_rate,0.152,0.188,0.011-0.294
11,negative_predictive_value,0.840,0.237,0.661-1.019
11,odds_ratio,inf,nan,nan-nan
11,precision,0.810,0.151,0.696-0.924
11,sensitivity,0.848,0.188,0.706-0.989
11,specificity,0.886,0.077,0.828-0.944
11,threat_score,0.679,0.149,0.567-0.791
12,F1_score,0.790,0.128,0.693-0.887
12,accuracy,0.820,0.131,0.722-0.918
12,balanced_accuracy,0.861,0.095,0.789-0.932
12,fall_out,0.115,0.084,0.052-0.178
12,false_discovery_rate,0.190,0.170,0.062-0.318
12,false_ommission_rate,0.173,0.246,-0.012-0.359
12,miss_rate,0.164,0.197,0.015-0.312
12,negative_predictive_value,0.827,0.246,0.641-1.012
12,odds_ratio,inf,nan,nan-nan
12,precision,0.810,0.170,0.682-0.938
12,sensitivity,0.836,0.197,0.688-0.985
12,specificity,0.885,0.084,0.822-0.948
12,threat_score,0.672,0.174,0.541-0.803
13,F1_score,0.787,0.128,0.690-0.883
13,accuracy,0.816,0.130,0.718-0.914
13,balanced_accuracy,0.857,0.096,0.785-0.930
13,fall_out,0.116,0.083,0.053-0.179
13,false_discovery_rate,0.190,0.170,0.062-0.318
13,false_ommission_rate,0.180,0.248,-0.007-0.367
13,miss_rate,0.169,0.201,0.018-0.321
13,negative_predictive_value,0.820,0.248,0.633-1.007
13,odds_ratio,inf,nan,nan-nan
13,precision,0.810,0.170,0.682-0.938
13,sensitivity,0.831,0.201,0.679-0.982
13,specificity,0.884,0.083,0.821-0.947
13,threat_score,0.667,0.174,0.536-0.798
14,F1_score,0.787,0.123,0.695-0.880
14,accuracy,0.820,0.127,0.724-0.916
14,balanced_accuracy,0.863,0.088,0.796-0.929
14,fall_out,0.119,0.084,0.056-0.182
14,false_discovery_rate,0.200,0.173,0.069-0.331
14,false_ommission_rate,0.167,0.246,-0.019-0.352
14,miss_rate,0.156,0.193,0.010-0.301
14,negative_predictive_value,0.833,0.246,0.648-1.019
14,odds_ratio,inf,nan,nan-nan
14,precision,0.800,0.173,0.669-0.931
