Count,Metrics,Mean,STD,95% CI
9,specificity,0.715,0.269,0.512-0.917
9,threat_score,0.698,0.120,0.608-0.788
10,F1_score,0.820,0.099,0.745-0.895
10,accuracy,0.760,0.127,0.664-0.856
10,balanced_accuracy,0.766,0.167,0.641-0.892
10,fall_out,0.283,0.272,0.078-0.488
10,false_discovery_rate,0.160,0.150,0.047-0.273
10,false_ommission_rate,0.400,0.237,0.222-0.578
10,miss_rate,0.184,0.105,0.105-0.263
10,negative_predictive_value,0.600,0.237,0.422-0.778
10,odds_ratio,inf,nan,nan-nan
10,precision,0.840,0.150,0.727-0.953
10,sensitivity,0.816,0.105,0.737-0.895
10,specificity,0.717,0.272,0.512-0.922
10,threat_score,0.706,0.138,0.602-0.811
11,F1_score,0.818,0.095,0.746-0.890
11,accuracy,0.753,0.123,0.661-0.846
11,balanced_accuracy,0.756,0.166,0.631-0.882
11,fall_out,0.289,0.270,0.086-0.492
11,false_discovery_rate,0.150,0.143,0.042-0.258
11,false_ommission_rate,0.440,0.233,0.264-0.616
11,miss_rate,0.198,0.104,0.119-0.276
11,negative_predictive_value,0.560,0.233,0.384-0.736
11,odds_ratio,inf,nan,nan-nan
11,precision,0.850,0.143,0.742-0.958
11,sensitivity,0.802,0.104,0.724-0.881
11,specificity,0.711,0.270,0.508-0.914
11,threat_score,0.703,0.132,0.604-0.802
12,F1_score,0.815,0.089,0.748-0.883
12,accuracy,0.753,0.112,0.669-0.838
12,balanced_accuracy,0.760,0.155,0.643-0.877
12,fall_out,0.289,0.261,0.092-0.486
12,false_discovery_rate,0.160,0.150,0.047-0.273
12,false_ommission_rate,0.420,0.227,0.249-0.591
12,miss_rate,0.191,0.095,0.119-0.263
12,negative_predictive_value,0.580,0.227,0.409-0.751
12,odds_ratio,inf,nan,nan-nan
12,precision,0.840,0.150,0.727-0.953
12,sensitivity,0.809,0.095,0.737-0.881
12,specificity,0.711,0.261,0.514-0.908
12,threat_score,0.698,0.127,0.602-0.793
13,F1_score,0.820,0.092,0.750-0.889
13,accuracy,0.760,0.116,0.672-0.848
13,balanced_accuracy,0.767,0.157,0.648-0.885
13,fall_out,0.284,0.262,0.086-0.482
13,false_discovery_rate,0.160,0.150,0.047-0.273
13,false_ommission_rate,0.400,0.237,0.222-0.578
13,miss_rate,0.183,0.099,0.108-0.257
13,negative_predictive_value,0.600,0.237,0.422-0.778
13,odds_ratio,inf,nan,nan-nan
13,precision,0.840,0.150,0.727-0.953
13,sensitivity,0.817,0.099,0.743-0.892
13,specificity,0.716,0.262,0.518-0.914
13,threat_score,0.705,0.131,0.606-0.803
14,F1_score,0.820,0.102,0.743-0.897
14,accuracy,0.760,0.120,0.670-0.850
14,balanced_accuracy,0.766,0.155,0.650-0.883
14,fall_out,0.276,0.256,0.083-0.468
14,false_discovery_rate,0.150,0.157,0.032-0.268
14,false_ommission_rate,0.420,0.227,0.249-0.591
14,miss_rate,0.192,0.095,0.120-0.264
14,negative_predictive_value,0.580,0.227,0.409-0.751
14,odds_ratio,inf,nan,nan-nan
14,precision,0.850,0.157,0.732-0.968
14,sensitivity,0.808,0.095,0.736-0.880
14,specificity,0.724,0.256,0.532-0.917
14,threat_score,0.707,0.138,0.603-0.811
15,F1_score,0.815,0.087,0.750-0.881
15,accuracy,0.753,0.108,0.672-0.835
15,balanced_accuracy,0.763,0.153,0.648-0.878
15,fall_out,0.284,0.262,0.086-0.482
15,false_discovery_rate,0.160,0.150,0.047-0.273
15,false_ommission_rate,0.420,0.227,0.249-0.591
15,miss_rate,0.190,0.094,0.119-0.261
15,negative_predictive_value,0.580,0.227,0.409-0.751
15,odds_ratio,inf,nan,nan-nan
15,precision,0.840,0.150,0.727-0.953
15,sensitivity,0.810,0.094,0.739-0.881
15,specificity,0.716,0.262,0.518-0.914
15,threat_score,0.697,0.121,0.606-0.788
16,F1_score,0.820,0.092,0.750-0.889
16,accuracy,0.760,0.116,0.672-0.848
16,balanced_accuracy,0.767,0.157,0.648-0.885
16,fall_out,0.284,0.262,0.086-0.482
16,false_discovery_rate,0.160,0.150,0.047-0.273
16,false_ommission_rate,0.400,0.237,0.222-0.578
16,miss_rate,0.183,0.099,0.108-0.257
16,negative_predictive_value,0.600,0.237,0.422-0.778
16,odds_ratio,inf,nan,nan-nan
16,precision,0.840,0.150,0.727-0.953
16,sensitivity,0.817,0.099,0.743-0.892
16,specificity,0.716,0.262,0.518-0.914
16,threat_score,0.705,0.131,0.606-0.803
17,F1_score,0.814,0.100,0.738-0.889
17,accuracy,0.753,0.127,0.658-0.849
17,balanced_accuracy,0.761,0.167,0.635-0.887
17,fall_out,0.292,0.275,0.085-0.500
17,false_discovery_rate,0.170,0.155,0.053-0.287
17,false_ommission_rate,0.400,0.237,0.222-0.578
17,miss_rate,0.186,0.104,0.107-0.264
17,negative_predictive_value,0.600,0.237,0.422-0.778
17,odds_ratio,inf,nan,nan-nan
17,precision,0.830,0.155,0.713-0.947
17,sensitivity,0.814,0.104,0.736-0.893
17,specificity,0.708,0.275,0.500-0.915
17,threat_score,0.697,0.140,0.592-0.803
18,F1_score,0.820,0.092,0.750-0.889
18,accuracy,0.760,0.116,0.672-0.848
18,balanced_accuracy,0.767,0.157,0.648-0.885
18,fall_out,0.284,0.262,0.086-0.482
18,false_discovery_rate,0.160,0.150,0.047-0.273
18,false_ommission_rate,0.400,0.237,0.222-0.578
18,miss_rate,0.183,0.099,0.108-0.257
18,negative_predictive_value,0.600,0.237,0.422-0.778
18,odds_ratio,inf,nan,nan-nan
18,precision,0.840,0.150,0.727-0.953
18,sensitivity,0.817,0.099,0.743-0.892
18,specificity,0.716,0.262,0.518-0.914
18,threat_score,0.705,0.131,0.606-0.803
19,F1_score,0.809,0.097,0.736-0.882
19,accuracy,0.747,0.122,0.655-0.839
19,balanced_accuracy,0.754,0.165,0.630-0.879
19,fall_out,0.297,0.274,0.091-0.504
19,false_discovery_rate,0.170,0.155,0.053-0.287
19,false_ommission_rate,0.420,0.227,0.249-0.591
19,miss_rate,0.194,0.100,0.119-0.269
19,negative_predictive_value,0.580,0.227,0.409-0.751
19,odds_ratio,inf,nan,nan-nan
19,precision,0.830,0.155,0.713-0.947
19,sensitivity,0.806,0.100,0.731-0.881
19,specificity,0.703,0.274,0.496-0.909
19,threat_score,0.691,0.135,0.589-0.793
20,F1_score,0.817,0.103,0.740-0.895
20,accuracy,0.760,0.131,0.661-0.859
20,balanced_accuracy,0.764,0.170,0.636-0.892
20,fall_out,0.292,0.275,0.085-0.500
20,false_discovery_rate,0.170,0.155,0.053-0.287
20,false_ommission_rate,0.380,0.227,0.209-0.551
20,miss_rate,0.179,0.103,0.102-0.257
20,negative_predictive_value,0.620,0.227,0.449-0.791
20,odds_ratio,inf,nan,nan-nan
20,precision,0.830,0.155,0.713-0.947
20,sensitivity,0.821,0.103,0.743-0.898
20,specificity,0.708,0.275,0.500-0.915
20,threat_score,0.704,0.144,0.595-0.813
