Count,Metrics,Mean,STD,95% CI
9,sensitivity,0.885,0.034,0.860-0.911
9,specificity,0.656,0.102,0.579-0.733
9,threat_score,0.796,0.055,0.754-0.838
10,F1_score,0.879,0.033,0.853-0.904
10,accuracy,0.818,0.050,0.780-0.856
10,balanced_accuracy,0.757,0.067,0.707-0.808
10,fall_out,0.364,0.100,0.288-0.440
10,false_discovery_rate,0.121,0.033,0.096-0.147
10,false_ommission_rate,0.364,0.100,0.288-0.440
10,miss_rate,0.121,0.033,0.096-0.147
10,negative_predictive_value,0.636,0.100,0.560-0.712
10,odds_ratio,18.701,15.687,6.872-30.530
10,precision,0.879,0.033,0.853-0.904
10,sensitivity,0.879,0.033,0.853-0.904
10,specificity,0.636,0.100,0.560-0.712
10,threat_score,0.785,0.054,0.745-0.826
11,F1_score,0.877,0.030,0.855-0.900
11,accuracy,0.816,0.045,0.782-0.850
11,balanced_accuracy,0.755,0.059,0.710-0.799
11,fall_out,0.368,0.089,0.301-0.435
11,false_discovery_rate,0.123,0.030,0.100-0.145
11,false_ommission_rate,0.368,0.089,0.301-0.435
11,miss_rate,0.123,0.030,0.100-0.145
11,negative_predictive_value,0.632,0.089,0.565-0.699
11,odds_ratio,16.458,11.505,7.783-25.134
11,precision,0.877,0.030,0.855-0.900
11,sensitivity,0.877,0.030,0.855-0.900
11,specificity,0.632,0.089,0.565-0.699
11,threat_score,0.783,0.047,0.747-0.818
12,F1_score,0.875,0.027,0.854-0.895
12,accuracy,0.812,0.040,0.782-0.842
12,balanced_accuracy,0.749,0.054,0.709-0.790
12,fall_out,0.376,0.080,0.315-0.437
12,false_discovery_rate,0.125,0.027,0.105-0.146
12,false_ommission_rate,0.376,0.080,0.315-0.437
12,miss_rate,0.125,0.027,0.105-0.146
12,negative_predictive_value,0.624,0.080,0.563-0.685
12,odds_ratio,14.596,9.447,7.472-21.720
12,precision,0.875,0.027,0.854-0.895
12,sensitivity,0.875,0.027,0.854-0.895
