Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Slight,Healthy,150,999,1.5875955458962276,0.001,0.0012
Slight,Moderate,100,999,1.7486415070626309,0.001,0.0012
Slight,Severe,100,999,1.8371794988000507,0.001,0.0012
Healthy,Moderate,150,999,3.9547515710373635,0.001,0.0012
Healthy,Severe,150,999,3.8380356039546784,0.001,0.0012
Moderate,Severe,100,999,0.9700395015774723,0.62,0.62
