Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Early,Healthy,150,999,1.8288671026193992,0.004,0.0048
Early,Moderate,100,999,2.4738348324475568,0.001,0.0015
Early,Severe,100,999,3.3691960533567005,0.001,0.0015
Healthy,Moderate,150,999,5.602936565444328,0.001,0.0015
Healthy,Severe,150,999,6.325447306476738,0.001,0.0015
Moderate,Severe,100,999,1.1018815494184453,0.219,0.219
