Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Early,Healthy,150,999,2.6584441800971716,0.019,0.022799999999999997
Early,Moderate,100,999,8.702906307484113,0.001,0.0015
Early,Severe,100,999,14.068214366598513,0.001,0.0015
Healthy,Moderate,150,999,22.059259782524673,0.001,0.0015
Healthy,Severe,150,999,31.310013450629775,0.001,0.0015
Moderate,Severe,100,999,1.7543213081828324,0.115,0.115
