Alpha-Diversity,H,p-value
Evenness,12.185457848605665,0.006774123738087294
Faith PD,33.42272318725111,2.6227945981005624e-7
Observed Features,21.019370066584198,0.0001043055436502384
Shnnon's Diversity,7.311350438247132,0.06260902704190516
