Count,Metrics,Mean,STD
1,accuracy,0.763,0.067
1,balanced_accuracy,0.733,0.075
1,sensitivity,0.822,0.050
1,specificity,0.644,0.100
1,precision,0.822,0.050
2,accuracy,0.779,0.072
2,balanced_accuracy,0.751,0.081
2,sensitivity,0.834,0.054
2,specificity,0.668,0.107
2,precision,0.834,0.054
3,accuracy,0.768,0.061
3,balanced_accuracy,0.739,0.068
3,sensitivity,0.826,0.046
3,specificity,0.652,0.091
3,precision,0.826,0.046
