Count,Metrics,Mean,STD,95% CI
9,sensitivity,0.874,0.048,0.838-0.910
9,specificity,0.748,0.096,0.675-0.821
9,threat_score,0.779,0.075,0.723-0.836
10,F1_score,0.886,0.051,0.848-0.924
10,accuracy,0.848,0.068,0.797-0.899
10,balanced_accuracy,0.829,0.076,0.772-0.886
10,fall_out,0.228,0.101,0.152-0.304
10,false_discovery_rate,0.114,0.051,0.076-0.152
10,false_ommission_rate,0.228,0.101,0.152-0.304
10,miss_rate,0.114,0.051,0.076-0.152
10,negative_predictive_value,0.772,0.101,0.696-0.848
10,odds_ratio,58.075,75.399,1.220-114.930
10,precision,0.886,0.051,0.848-0.924
10,sensitivity,0.886,0.051,0.848-0.924
10,specificity,0.772,0.101,0.696-0.848
10,threat_score,0.799,0.079,0.739-0.859
11,F1_score,0.886,0.046,0.852-0.920
11,accuracy,0.848,0.061,0.802-0.894
11,balanced_accuracy,0.829,0.068,0.777-0.881
11,fall_out,0.228,0.091,0.159-0.297
11,false_discovery_rate,0.114,0.046,0.080-0.148
11,false_ommission_rate,0.228,0.091,0.159-0.297
11,miss_rate,0.114,0.046,0.080-0.148
11,negative_predictive_value,0.772,0.091,0.703-0.841
11,odds_ratio,59.523,78.346,0.446-118.600
11,precision,0.886,0.046,0.852-0.920
11,sensitivity,0.886,0.046,0.852-0.920
11,specificity,0.772,0.091,0.703-0.841
11,threat_score,0.798,0.073,0.743-0.854
12,F1_score,0.888,0.049,0.851-0.925
12,accuracy,0.851,0.066,0.801-0.900
12,balanced_accuracy,0.832,0.074,0.776-0.888
12,fall_out,0.224,0.098,0.150-0.298
12,false_discovery_rate,0.112,0.049,0.075-0.149
12,false_ommission_rate,0.224,0.098,0.150-0.298
12,miss_rate,0.112,0.049,0.075-0.149
12,negative_predictive_value,0.776,0.098,0.702-0.850
12,odds_ratio,61.395,77.556,2.914-119.876
12,precision,0.888,0.049,0.851-0.925
12,sensitivity,0.888,0.049,0.851-0.925
12,specificity,0.776,0.098,0.702-0.850
12,threat_score,0.802,0.078,0.743-0.860
13,F1_score,0.884,0.056,0.842-0.926
13,accuracy,0.845,0.074,0.789-0.901
13,balanced_accuracy,0.826,0.084,0.763-0.889
13,fall_out,0.232,0.111,0.148-0.316
13,false_discovery_rate,0.116,0.056,0.074-0.158
13,false_ommission_rate,0.232,0.111,0.148-0.316
13,miss_rate,0.116,0.056,0.074-0.158
13,negative_predictive_value,0.768,0.111,0.684-0.852
13,odds_ratio,149.348,343.607,-109.750-408.445
13,precision,0.884,0.056,0.842-0.926
13,sensitivity,0.884,0.056,0.842-0.926
13,specificity,0.768,0.111,0.684-0.852
13,threat_score,0.797,0.089,0.729-0.864
14,F1_score,0.888,0.045,0.854-0.922
14,accuracy,0.851,0.060,0.806-0.896
14,balanced_accuracy,0.832,0.067,0.781-0.883
14,fall_out,0.224,0.090,0.156-0.292
14,false_discovery_rate,0.112,0.045,0.078-0.146
14,false_ommission_rate,0.224,0.090,0.156-0.292
14,miss_rate,0.112,0.045,0.078-0.146
14,negative_predictive_value,0.776,0.090,0.708-0.844
14,odds_ratio,60.266,77.962,1.478-119.054
14,precision,0.888,0.045,0.854-0.922
14,sensitivity,0.888,0.045,0.854-0.922
